ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
81	Mapoyo	BIG	koʔmano	koʔmano	k o ʔ m a n o	k o ʔ m a n o	48		
82	Panare	BIG	tosen	tosen	t o s e n	t o s e n	41		
83	Pemón	BIG	tanno	tanno	t a n n o	t a n n o	39		
84	Tiriyó	BIG	mono me	mono me	m o n o + m e	m o n - - o + m e	33		
85	Waimiri-Atroari	BIG	tahsa	tahsa	t a h s a	t a h s a	45		
86	Waiwai	BIG	ɸorʲ	ɸorʲ	ɸ o rʲ	ɸ o rʲ - -	34		
87	Wayana	BIG	pepta	pepta	p e p t a	p e p t a	44		
88	Werikyana	BIG	herenɨ	herenɨ	h e r e n ɨ	h e r e n ɨ	47		
89	Yawarana	BIG	tapotoi	tapotoi	t a p o t o i	t a p o t - o i	36		
90	Ye'kwana	BIG	ahoʔho	ahoʔho	a h o ʔ h o	- a h o ʔ h o -	36		
91	Yukpa	BIG	ʃape	ʃape	ʃ a p e	ʃ a p e	37		
92	Akawaio	BIRD	toron	toron	t o r o n	t o r o n - - -	49		
93	Akuriyó	BIRD	tonoro	tonoro	t o n o r o	t o n o r - - o	49		
94	Apalaí	BIRD	karau	karau	k a r a u	k a r a u	53		
95	Arara	BIRD	talem	talem	t a l e m	t a l e m	50		
96	Bakairi	BIRD	konopio	konopio	k o n o p i o	k o n o p i o	52		
97	Hixkaryána	BIRD	torono	torono	t o r o n o	t o r o n - - o	49		
98	Ikpeng	BIRD	talim	talim	t a l i m	t a l i m	50		
99	Kari'ña	BIRD	tonoro	tonoro	t o n o r o	t o n o r - - o	49		
100	Karijona	BIRD	torono	torono	t o r o n o	t o r o n - - o	49		
101	Kuikuro	BIRD	tolo	tolo	t o l o	t o - - l - - o	49		
102	Macushi	BIRD	toron	toron	t o r o n	t o r o n - - -	49		
103	Mapoyo	BIRD	konoro	konoro	k o n o r o	k o n o r - - o	49		
104	Panare	BIRD	tunko	tunko	t u n k o	t u n - k - - o	49		
105	Pemón	BIRD	toron	toron	t o r o n	t o r o n - - -	49		
106	Tamanaku	BIRD	torono	torono	t o r o n o	t o r o n - - o	49		
107	Tiriyó	BIRD	tonoro	tonoro	t o n o r o	t o n o r - - o	49		
108	Waimiri-Atroari	BIRD	tɨrɨnɨ	tɨrɨnɨ	t ɨ r ɨ n ɨ	t ɨ r ɨ n - - ɨ	49		
109	Waiwai	BIRD	torowo	torowo	t o r o w o	t o r o w - - o	49		
110	Wayana	BIRD	toropɨtɨ	toropɨtɨ	t o r o p ɨ t ɨ	t o r o p ɨ t ɨ	49		
111	Werikyana	BIRD	tomu	tomu	t o m u	t o m u	54		
112	Yawarana	BIRD	torono	torono	t o r o n o	t o r o n - - o	49		
113	Ye'kwana	BIRD	tonoro	tonoro	t o n o r o	t o n o r - - o	49		
114	Yukpa	BIRD	peʃa	peʃa	p e ʃ a	p e ʃ a	51		
115	Akawaio	BITE	iʔka	iʔka	i ʔ k a	- i ʔ - k - - a	55		
116	Apalaí	BITE	eseka	eseka	e s e k a	- e s e k - - a	55		
117	Arara	BITE	oŋoŋ	oŋoŋ	o ŋ o ŋ	o ŋ o ŋ	56		
118	Bakairi	BITE	ə	ə	ə	- - ə -	56		
119	Hixkaryána	BITE	oska	oska	o s k a	- o s - k - - a	55		
120	Ikpeng	BITE	etpore	etpore	e t p o r e	e t p o r e	57		
121	Ingarikó	BITE	iʔka	iʔka	i ʔ k a	- i ʔ - k - - a	55		
122	Kari'ña	BITE	eka	eka	e k a	- - - e k - - a	55		
123	Karijona	BITE	eseka	eseka	e s e k a	- e s e k - - a	55		
124	Kuikuro	BITE	it͡si	it͡si	i t͡s i	- - - i t͡s - - i	55		
125	Macushi	BITE	jeʔka	jeʔka	j e ʔ k a	j e ʔ - k - - a	55		
126	Mapoyo	BITE	jeeka	jeeka	j e e k a	j e - e k - - a	55		
127	Panare	BITE	ənə	ənə	ə n ə	ə n ə -	56		
128	Pemón	BITE	eʔka	eʔka	e ʔ k a	- e ʔ - k - - a	55		
129	Tiriyó	BITE	eeka	eeka	e e k a	- e - e k - - a	55		
130	Waimiri-Atroari	BITE	iki	iki	i k i	- - - i k - - i	55		
131	Waiwai	BITE	eska	eska	e s k a	- e s - k - - a	55		
132	Wayana	BITE	ə	ə	ə	- - ə -	56		
133	Werikyana	BITE	oska	oska	o s k a	- o s - k - - a	55		
134	Yawarana	BITE	jat͡ʃikari	jat͡ʃikari	j a t͡ʃ i k a r i	j a t͡ʃ i k a r i	55		
135	Ye'kwana	BITE	eeka	eeka	e e k a	- e - e k - - a	55		
136	Yukpa	BITE	eseka	eseka	e s e k a	- e s e k - - a	55		
137	Akawaio	BLACK	iʔkɨrɨ-n	iʔkɨrɨn	i ʔ k ɨ r ɨ n	- i ʔ k - ɨ - r ɨ - n - - -	59		
138	Apalaí	BLACK	ʃinukutu mano	ʃinukutu mano	ʃ i n u k u t u + m a n o	ʃ i n u k u t - - - - u + m a n o	61		
139	Arara	BLACK	ti-grigri-ne-m	tigrigrinem	t i g r i g r i n e m	t i - g r i g r i - n e m -	59		
140	Bakairi	BLACK	t-əmɨgɨ-nẽ-ĩ	təmɨgɨnẽĩ	t ə m ɨ g ɨ n ẽ ĩ	t ə m ɨ g ɨ n ẽ ĩ	64		
141	Hixkaryána	BLACK	t-hur-me	thurme	t h u r m e	t - h u r - - m e	58		
142	Ikpeng	BLACK	kɨrɨtpo	kɨrɨtpo	k ɨ r ɨ t p o	- - - k - ɨ - r ɨ t p o - -	59		
143	Kari'ña	BLACK	tɨ-karai-je	tɨkaraije	t ɨ k a r a i j e	t ɨ k a r a i j e	67		
144	Karijona	BLACK	sukutu-me-mɨ	sukutumemɨ	s u k u t u m e m ɨ	s u - - k u t u m e m ɨ - - - - -	61		
145	Kuikuro	BLACK	huseũki	huseũki	h u s e ũ k i	h u s e ũ k i	69		
146	Macushi	BLACK	arikkɨtu-n	arikkɨtun	a r i k k ɨ t u n	- a r i k k ɨ t u n	60		
147	Mapoyo	BLACK	kərə-ke	kərəke	k ə r ə k e	- - - k - ə - r ə - k e - -	59		
148	Panare	BLACK	t-upuruʔ-ke	tupuruʔke	t u p u r u ʔ k e	t u p u r u ʔ k e	58		
149	Pemón	BLACK	t-ariʔku-n	tariʔkun	t a r i ʔ k u n	t a r i ʔ k - - u n	60		
150	Tamanaku	BLACK	kine-me	kineme	k i n e m e	k i n e m e	68		
151	Tiriyó	BLACK	sikin-me	sikinme	s i k i n m e	s i k i n m e	65		
152	Waimiri-Atroari	BLACK	t-apɨrɨ-ma	tapɨrɨma	t a p ɨ r ɨ m a	t a p ɨ r ɨ m a	70		
153	Waiwai	BLACK	t͡ʃ-it͡ʃwi-je	t͡ʃit͡ʃwije	t͡ʃ i t͡ʃ w i j e	t͡ʃ i t͡ʃ w i j e	63		
154	Wayana	BLACK	t-ariri-me	taririme	t a r i r i m e	t a r i r i m e	66		
155	Werikyana	BLACK	tɨ-t͡ʃari-ne	tɨt͡ʃarine	t ɨ t͡ʃ a r i n e	t ɨ t͡ʃ a r i n e	62		
156	Yawarana	BLACK	kɨrɨ-ke-mu	kɨrɨkemu	k ɨ r ɨ k e m u	- - - k - ɨ - r ɨ - k e m u	59		
157	Ye'kwana	BLACK	huru-me	hurume	h u r u m e	- - h u r u - m e	58		
158	Yukpa	BLACK	korow-t͡ʃe	korowt͡ʃe	k o r o w t͡ʃ e	- - - k - o - r o w t͡ʃ e - -	59		
159	Akawaio	BLOOD	mɨn	mɨn	m ɨ n	m ɨ n -	71		
160	Akuriyó	BLOOD	apiru	apiru	a p i r u	a p i r u	74		
161	Apalaí	BLOOD	munu	munu	m u n u	m u n u	71		
162	Arara	BLOOD	mɨŋɨ	mɨŋɨ	m ɨ ŋ ɨ	m ɨ ŋ ɨ	71		
163	Bakairi	BLOOD	unu	unu	u n u	- u n u	71		
164	Hixkaryána	BLOOD	kamsuku	kamsuku	k a m s u k u	k a m s u k u	72		
165	Ikpeng	BLOOD	mɨŋ	mɨŋ	m ɨ ŋ	m ɨ ŋ -	71		
166	Ingarikó	BLOOD	mɨn	mɨn	m ɨ n	m ɨ n -	71		
167	Kari'ña	BLOOD	mɨnu	mɨnu	m ɨ n u	m ɨ n u	71		
168	Karijona	BLOOD	muɲu	muɲu	m u ɲ u	m u ɲ u	71		
169	Kuikuro	BLOOD	uŋu	uŋu	u ŋ u	- u ŋ u	71		
170	Macushi	BLOOD	mɨnɨ	mɨnɨ	m ɨ n ɨ	m ɨ n ɨ	71		
171	Mapoyo	BLOOD	misuku	misuku	m i s u k u	m i - s u k u	73		
172	Panare	BLOOD	met͡ʃuʔ	met͡ʃuʔ	m e t͡ʃ u ʔ	m e - t͡ʃ u ʔ -	73		
173	Pemón	BLOOD	mun	mun	m u n	m u n -	71		
174	Tamanaku	BLOOD	mit͡ʃuku	mit͡ʃuku	m i t͡ʃ u k u	m i - t͡ʃ u k u	73		
175	Tiriyó	BLOOD	munu	munu	m u n u	m u n u	71		
176	Waimiri-Atroari	BLOOD	mɨnɨ	mɨnɨ	m ɨ n ɨ	m ɨ n ɨ	71		
177	Waiwai	BLOOD	kamʃuku	kamʃuku	k a m ʃ u k u	k a m ʃ u k u	72		
178	Wayana	BLOOD	mɨwu	mɨwu	m ɨ w u	m ɨ w u	71		
179	Werikyana	BLOOD	kami	kami	k a m i	k a m - - - i	72		
180	Yawarana	BLOOD	meesuku	meesuku	m e e s u k u	m e e s u k u	73		
181	Ye'kwana	BLOOD	munu	munu	m u n u	m u n u	71		
182	Yukpa	BLOOD	muru	muru	m u r u	m u r u	71		
183	Akawaio	BONE	əʔpɨ	əʔpɨ	ə ʔ p ɨ	- - ə ʔ - p ɨ - -	75		
184	Akuriyó	BONE	jeʔpə	jeʔpə	j e ʔ p ə	- j e ʔ - p ə - -	75		
185	Apalaí	BONE	zeʔpo	zeʔpo	z e ʔ p o	- z e ʔ - p o - -	75		
186	Arara	BONE	itpɨ	itpɨ	i t p ɨ	- - i t - p ɨ - -	75		
187	Bakairi	BONE	ibɨrɨ	ibɨrɨ	i b ɨ r ɨ	- - i - - b ɨ r ɨ	75		
188	Hixkaryána	BONE	jot͡ʃhɨ	jot͡ʃhɨ	j o t͡ʃ h ɨ	- j o t͡ʃ - h - - ɨ	75		
189	Ikpeng	BONE	itpɨn	itpɨn	i t p ɨ n	- - i t - p ɨ n -	75		
190	Ingarikó	BONE	əʔpɨ	əʔpɨ	ə ʔ p ɨ	- - ə ʔ - p ɨ - -	75		
191	Kari'ña	BONE	jeʔpo	jeʔpo	j e ʔ p o	- j e ʔ - p o - -	75		
192	Karijona	BONE	ijetihɨ	ijetihɨ	i j e t i h ɨ	i j e t i h - - ɨ	75		
193	Kuikuro	BONE	ipɨɣɨ	ipɨɣɨ	i p ɨ ɣ ɨ	- - i - - p ɨ ɣ ɨ	75		
194	Macushi	BONE	jeʔpɨ	jeʔpɨ	j e ʔ p ɨ	- j e ʔ - p ɨ - -	75		
195	Mapoyo	BONE	jəʔpə	jəʔpə	j ə ʔ p ə	- j ə ʔ - p ə - -	75		
196	Panare	BONE	jəhpə	jəhpə	j ə h p ə	- j ə h - p ə - -	75		
197	Pemón	BONE	jeʔpə	jeʔpə	j e ʔ p ə	- j e ʔ - p ə - -	75		
198	Tamanaku	BONE	jetpe	jetpe	j e t p e	- j e t - p e - -	75		
199	Tiriyó	BONE	jetɨpə	jetɨpə	j e t ɨ p ə	- j e t ɨ p ə - -	75		
200	Waimiri-Atroari	BONE	jɨhɨ	jɨhɨ	j ɨ h ɨ	- j ɨ - - h - - ɨ	75		
201	Waiwai	BONE	jot͡ʃho	jot͡ʃho	j o t͡ʃ h o	- j o t͡ʃ - h - - o	75		
202	Wayana	BONE	jetpə	jetpə	j e t p ə	- j e t - p ə - -	75		
203	Werikyana	BONE	jot͡ʃpɨ	jot͡ʃpɨ	j o t͡ʃ p ɨ	- j o t͡ʃ - p ɨ - -	75		
204	Yawarana	BONE	jəspə	jəspə	j ə s p ə	- j ə s - p ə - -	75		
205	Ye'kwana	BONE	jeeʔhə	jeeʔhə	j e e ʔ h ə	- j e - e ʔ - h ə	75		
206	Yukpa	BONE	jopo	jopo	j o p o	- j o - - p o - -	75		
207	Akawaio	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
208	Akuriyó	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
209	Apalaí	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
210	Arara	BREAST	maŋa	maŋa	m a ŋ a	m a ŋ - - - a	76		
211	Bakairi	BREAST	wãrɨ	wãrɨ	w ã r ɨ	w ã - - - r ɨ	76		
212	Hixkaryána	BREAST	manata	manata	m a n a t a	m a n a - t a	76		
213	Ikpeng	BREAST	maŋa	maŋa	m a ŋ a	m a ŋ - - - a	76		
214	Ingarikó	BREAST	manat	manat	m a n a t	m a n a - t -	76		
215	Kari'ña	BREAST	manaʔta	manaʔta	m a n a ʔ t a	m a n a ʔ t a	76		
216	Karijona	BREAST	manati	manati	m a n a t i	m a n a - t i	76		
217	Kuikuro	BREAST	aŋatɨ	aŋatɨ	a ŋ a t ɨ	- a ŋ a - t ɨ	76		
218	Macushi	BREAST	manaʔtɨ	manaʔtɨ	m a n a ʔ t ɨ	m a n a ʔ t ɨ	76		
219	Mapoyo	BREAST	mati	mati	m a t i	m a - - - t i	76		
220	Panare	BREAST	matɨ	matɨ	m a t ɨ	m a - - - t ɨ	76		
221	Pemón	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
222	Tamanaku	BREAST	mati	mati	m a t i	m a - - - t i	76		
223	Tiriyó	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
224	Waimiri-Atroari	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
225	Waiwai	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
226	Wayana	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
227	Werikyana	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
228	Yawarana	BREAST	matti	matti	m a t t i	m a t - - t i	76		
229	Ye'kwana	BREAST	manatɨ	manatɨ	m a n a t ɨ	m a n a - t ɨ	76		
230	Yukpa	BREAST	ʃeʃe	ʃeʃe	ʃ e ʃ e	ʃ e ʃ e	77		
231	Akawaio	BURN	ujeʔpu	ujeʔpu	u j e ʔ p u	u j e ʔ p u	82		
232	Apalaí	BURN	zaʔ	zaʔ	z a ʔ	z a ʔ -	78		
233	Arara	BURN	jadu	jadu	j a d u	j a d u	78		
234	Bakairi	BURN	adu	adu	a d u	- a d u	78		
235	Hixkaryána	BURN	at-ake	atake	a t a k e	a t a k e	79		
236	Ikpeng	BURN	aru	aru	a r u	- a r u	78		
237	Ingarikó	BURN	eʔ-poʔtə	eʔpoʔtə	e ʔ p o ʔ t ə	e ʔ p o ʔ t ə	83		
238	Kari'ña	BURN	korotɨ	korotɨ	k o r o t ɨ	k o r o t ɨ	81		
239	Karijona	BURN	jatu	jatu	j a t u	j a t u	78		
240	Kuikuro	BURN	atu	atu	a t u	- a t u	78		
241	Macushi	BURN	aramɨ	aramɨ	a r a m ɨ	a r a m ɨ	84		
242	Mapoyo	BURN	t-uwa	tuwa	t u w a	t u w a	86		
243	Panare	BURN	atɨ	atɨ	a t ɨ	- a t ɨ	78		
244	Pemón	BURN	atɨ	atɨ	a t ɨ	- a t ɨ	78		
245	Tiriyó	BURN	jatu	jatu	j a t u	j a t u	78		
246	Waimiri-Atroari	BURN	kɨrɨ	kɨrɨ	k ɨ r ɨ	k ɨ r ɨ	88		
247	Waiwai	BURN	et͡ʃ-akɨ	et͡ʃakɨ	e t͡ʃ a k ɨ	e t͡ʃ a k ɨ	79		
248	Wayana	BURN	rom	rom	r o m	r o m	80		
249	Werikyana	BURN	jatɨ	jatɨ	j a t ɨ	j a t ɨ	78		
250	Yawarana	BURN	watiri	watiri	w a t i r i	w a t i r i	85		
251	Ye'kwana	BURN	jatu	jatu	j a t u	j a t u	78		
252	Yukpa	BURN	ureka	ureka	u r e k a	u r e k a	87		
253	Akawaio	CLAW	ʔta piʔpə	ʔta piʔpə	ʔ t a + p i ʔ p ə	ʔ t a + p i ʔ p ə	93		
254	Apalaí	CLAW	oma ʃipuʔtu	oma ʃipuʔtu	o m a + ʃ i p u ʔ t u	o m a + ʃ i p u ʔ t u	99		
255	Arara	CLAW	amoe	amoe	a m o e	a m o e	90		
256	Bakairi	CLAW	õda	õda	õ d a	õ d a	100		
257	Hixkaryána	CLAW	amo-ʃoʃo	amoʃoʃo	a m o ʃ o ʃ o	a m o ʃ o ʃ o	91		
258	Ikpeng	CLAW	pro	pro	p r o	p - r o -	89		
259	Kari'ña	CLAW	ɨʔposaikɨ	ɨʔposaikɨ	ɨ ʔ p o s a i k ɨ	ɨ ʔ p o s a i k ɨ	97		
260	Karijona	CLAW	hamosairi	hamosairi	h a m o s a i r i	h a m o s a i r i	95		
261	Kuikuro	CLAW	õmpi	õmpi	õ m p i	õ m p i	101		
262	Macushi	CLAW	enja puʔpɨ	enja puʔpɨ	e n j a + p u ʔ p ɨ	e n j a + p u ʔ p ɨ	92		
263	Mapoyo	CLAW	jə	jə	j ə	j ə	103		
264	Panare	CLAW	i-hta-ɲon	ihtaɲon	i h t a ɲ o n	i h t a ɲ o n	94		
265	Pemón	CLAW	enna piʔpə	enna piʔpə	e n n a + p i ʔ p ə	e n n a + p i ʔ p ə	92		
266	Tiriyó	CLAW	pɨroi	pɨroi	p ɨ r o i	p ɨ r o i	89		
267	Tiriyó	CLAW	amoi	amoi	a m o i	a m o i	90		
268	Waimiri-Atroari	CLAW	bisekrɨ	bisekrɨ	b i s e k r ɨ	b i s e k r ɨ	104		
269	Waiwai	CLAW	amo-ʃoʃo	amoʃoʃo	a m o ʃ o ʃ o	a m o ʃ o ʃ o	91		
270	Wayana	CLAW	amo hawin	amo hawin	a m o + h a w i n	a m o + h a w i n	98		
271	Werikyana	CLAW	amo-t͡ʃikire	amot͡ʃikire	a m o t͡ʃ i k i r e	a m o t͡ʃ i k i r e	96		
272	Yawarana	CLAW	poi	poi	p o i	p - - o i	89		
273	Ye'kwana	CLAW	əmi	əmi	ə m i	ə m - i	90		
274	Yukpa	CLAW	etakʃu	etakʃu	e t a k ʃ u	e t a k ʃ u	102		
275	Akawaio	CLOUD	kapuruʔ	kapuruʔ	k a p u r u ʔ	- k - a p u - r u ʔ - - -	105		
276	Apalaí	CLOUD	akuru	akuru	a k u r u	a k u r u	113		
277	Arara	CLOUD	aptenu	aptenu	a p t e n u	a p t e n u	108		
278	Bakairi	CLOUD	eunu	eunu	e u n u	e u n u	110		
279	Hixkaryána	CLOUD	kahrutunu	kahrutunu	k a h r u t u n u	- k - a - - h r u t u n u	105		
280	Ikpeng	CLOUD	jumt͡ʃigru	jumt͡ʃigru	j u m t͡ʃ i g r u	j u m t͡ʃ i g r u	109		
281	Kari'ña	CLOUD	kapuʔrutu	kapuʔrutu	k a p u ʔ r u t u	- k - a p u ʔ r u t - - u	105		
282	Karijona	CLOUD	kahuako	kahuako	k a h u a k o	k a h u a k o	111		
283	Kuikuro	CLOUD	kamũntu	kamũntu	k a m ũ n t u	k a m ũ n t u	106		
284	Macushi	CLOUD	katurupu	katurupu	k a t u r u p u	- k - a t u - r u p - - u	105		
285	Mapoyo	CLOUD	kasihpanu	kasihpanu	k a s i h p a n u	k a s i h p a n u	115		
286	Panare	CLOUD	kaʔ tamuʔɲemən	kaʔ tamuʔɲemən	k a ʔ + t a m u ʔ ɲ e m ə n	k a ʔ + t a m u ʔ ɲ e m ə n	114		
287	Pemón	CLOUD	katuʔruk	katuʔruk	k a t u ʔ r u k	- k - a t u ʔ r u k - - -	105		
288	Tamanaku	CLOUD	wereite	wereite	w e r e i t e	w e r e i t e	107		
289	Tiriyó	CLOUD	ikapurutu	ikapurutu	i k a p u r u t u	i k - a p u - r u t - - u	105		
290	Waimiri-Atroari	CLOUD	akeɲi	akeɲi	a k e ɲ i	a k e ɲ i	116		
291	Waiwai	CLOUD	kaaɸusmunu	kaaɸusmunu	k a a ɸ u s m u n u	- k a a ɸ u s m u n - - u	105		
292	Wayana	CLOUD	ekrotɨ	ekrotɨ	e k r o t ɨ	e k r o t ɨ	112		
